Name,Symbol,Weight,Price,Sector
F5 Inc.,FFIV,0.027643,145.57,Information Technology
MarketAxess Holdings Inc.,MKTX,0.027593,222.8,Financials
Juniper Networks Inc.,JNPR,0.027382,25.93,Information Technology
Bath & Body Works Inc.,BBWI,0.027358,33.25,Consumer Discretionary
WestRock Company,WRK,0.027225,31.18,Materials
Ceridian HCM Holding Inc.,CDAY,0.027028,56.1,Information Technology
Regency Centers Corporation,REG,0.026694,53.03,Real Estate
Zions Bancorporation N.A.,ZION,0.026489,51.45,Financials
Allegion Public Limited Company,ALLE,0.026363,88.72,Industrials
Robert Half International Inc.,RHI,0.026139,75.29,Industrials
Pinnacle West Capital Corporation,PNW,0.025816,66.03,Utilities
Whirlpool Corporation,WHR,0.025422,139.4,Consumer Discretionary
Assurant Inc.,AIZ,0.025363,148.75,Financials
BorgWarner Inc.,BWA,0.025339,31.34,Consumer Discretionary
American Airlines Group Inc.,AAL,0.025202,12.11,Industrials
Tapestry Inc.,TPR,0.025106,28.6,Consumer Discretionary
Rollins Inc.,ROL,0.024759,34.79,Industrials
Caesars Entertainment Inc,CZR,0.024226,31.71,Consumer Discretionary
Lumen Technologies Inc.,LUMN,0.023949,7.35,Communication Services
Fortune Brands Home & Security Inc.,FBHS,0.023171,54.57,Industrials
Invesco Ltd.,IVZ,0.022314,14,Financials
Lincoln National Corporation,LNC,0.022287,44.11,Financials
Pentair plc,PNR,0.021833,40.75,Industrials
Sealed Air Corporation,SEE,0.021740,44.09,Materials
A. O. Smith Corporation,AOS,0.021193,48.6,Industrials
Organon & Co.,OGN,0.020943,23.47,Health Care
DENTSPLY SIRONA Inc.,XRAY,0.020914,29.03,Health Care
Franklin Resources Inc.,BEN,0.020536,22.03,Financials
Federal Realty Investment Trust,FRT,0.020228,88.44,Real Estate
Wynn Resorts Limited,WYNN,0.020186,63.55,Consumer Discretionary
Universal Health Services Inc. Class B,UHS,0.019783,89.92,Health Care
News Corporation Class A,NWSA,0.019280,14.9,Communication Services
Norwegian Cruise Line Holdings Ltd.,NCLH,0.018099,13.71,Consumer Discretionary
Newell Brands Inc,NWL,0.017788,13.9,Consumer Discretionary
DXC Technology Co.,DXC,0.017667,24.7,Information Technology
Alaska Air Group Inc.,ALK,0.016279,38.73,Industrials
DaVita Inc.,DVA,0.015493,83.63,Health Care
Mohawk Industries Inc.,MHK,0.015395,91.32,Consumer Discretionary
Fox Corporation Class B,FOX,0.013956,28.2,Communication Services
Ralph Lauren Corporation Class A,RL,0.013004,86.82,Consumer Discretionary
Vornado Realty Trust,VNO,0.012326,22.93,Real Estate
DISH Network Corporation Class A,DISH,0.012092,14.14,Communication Services
News Corporation Class B,NWS,0.006181,15.2,Communication Services
Embecta Corporation,EMBC,0.000005,28.98,Health Care
