Name,Symbol,Weight,Price,Sector
CME Group Inc. Class A,CME,0.208538,178.79,Financials
EOG Resources Inc.,EOG,0.206105,111.73,Energy
Colgate-Palmolive Company,CL,0.203396,71.53,Consumer Staples
Fiserv Inc.,FISV,0.201909,94.2,Information Technology
PNC Financial Services Group Inc.,PNC,0.201863,149.98,Financials
3M Company,MMM,0.200937,111.72,Industrials
Waste Management Inc.,WM,0.200920,161.08,Industrials
Humana Inc.,HUM,0.197854,489.49,Health Care
CSX Corporation,CSX,0.191022,26.87,Industrials
Truist Financial Corporation,TFC,0.188944,43.85,Financials
Aon Plc Class A,AON,0.186897,269.95,Financials
U.S. Bancorp,USB,0.183543,40.85,Financials
Micron Technology Inc.,MU,0.179189,49.3,Information Technology
Boston Scientific Corporation,BSX,0.178663,39.22,Health Care
Dollar General Corporation,DG,0.177600,239.1,Consumer Discretionary
Equinix Inc.,EQIX,0.173442,559.29,Real Estate
Eaton Corp. Plc,ETN,0.172195,132.56,Industrials
Activision Blizzard Inc.,ATVI,0.171965,74.37,Communication Services
Estee Lauder Companies Inc. Class A,EL,0.170565,216.9,Consumer Staples
Illinois Tool Works Inc.,ITW,0.170436,182.4,Industrials
Edwards Lifesciences Corporation,EW,0.169538,83.59,Health Care
Air Products and Chemicals Inc.,APD,0.168916,229.96,Materials
Lam Research Corporation,LRCX,0.167997,365.23,Information Technology
Intercontinental Exchange Inc.,ICE,0.167637,90.73,Financials
General Motors Company,GM,0.166198,32.93,Consumer Discretionary
Norfolk Southern Corporation,NSC,0.164756,212.82,Industrials
Sempra Energy,SRE,0.163359,151.55,Utilities
American Electric Power Company Inc.,AEP,0.161266,89.02,Utilities
General Dynamics Corporation,GD,0.160826,213.33,Industrials
Pioneer Natural Resources Company,PXD,0.160755,212.89,Energy
Sherwin-Williams Company,SHW,0.160560,206.88,Materials
McKesson Corporation,MCK,0.160312,338.65,Health Care
Schlumberger NV,SLB,0.158941,35.17,Energy
Fidelity National Information Services Inc.,FIS,0.157549,76.1,Information Technology
Ford Motor Company,F,0.156689,11.4,Consumer Discretionary
General Mills Inc.,GIS,0.153219,77.77,Consumer Staples
Public Storage,PSA,0.150247,286.67,Real Estate
Synopsys Inc.,SNPS,0.149127,306.33,Information Technology
Archer-Daniels-Midland Company,ADM,0.147608,80.33,Consumer Staples
Marathon Petroleum Corporation,MPC,0.146965,97.53,Energy
Centene Corporation,CNC,0.144997,77.18,Health Care
Cadence Design Systems Inc.,CDNS,0.142200,163.28,Information Technology
O'Reilly Automotive Inc.,ORLY,0.141408,707.71,Consumer Discretionary
Occidental Petroleum Corporation,OXY,0.141053,61.24,Energy
Emerson Electric Co.,EMR,0.140916,73.67,Industrials
KLA Corporation,KLAC,0.140579,306.13,Information Technology
