Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-09,146.4018122835344,147.09182023901062,143.6977528165556,144.16397094726562,7028800,0.0,0
2017-10-10,145.15236523371772,146.72818494532743,144.60223120062602,146.2712860107422,5420200,0.0,0
2017-10-11,146.67222357502226,148.22007114997842,146.44843375512627,147.20370483398438,3859300,0.0,0
2017-10-12,147.2037189147795,147.31562094935546,145.79574517802135,146.59764099121094,3596300,0.0,0
2017-10-13,146.78412953064839,149.26441365358446,146.4764238256661,149.04995727539062,3634500,0.0,0
2017-10-16,148.6116956929556,149.0033172148698,147.62331553367002,148.0802001953125,2453700,0.0,0
2017-10-17,148.25739682253405,148.5091586499933,146.92401951695783,147.67929077148438,2426800,0.0,0
2017-10-18,148.10818636222785,148.10818636222785,146.68155988550572,146.9053497314453,3011300,0.0,0
2017-10-19,146.52306800732455,148.03361055313823,146.3925274691413,147.75389099121094,2981700,0.0,0
2017-10-20,148.22940291626549,150.13156674865323,147.80047594884763,149.9077911376953,3993200,0.0,0
2017-10-23,149.9824078214573,151.41835368604393,149.73064599758948,151.0919952392578,2811200,0.0,0
2017-10-24,150.27142995121284,151.8845406851381,150.12223673604626,151.3250732421875,3040700,0.0,0
2017-10-25,150.12228116366478,151.9871542215985,149.73065952884096,151.22254943847656,3603900,0.0,0
2017-10-26,151.4835968017578,152.4999488819053,149.92641577082262,151.4835968017578,3038900,0.0,0
2017-10-27,149.93579099141422,151.68876192415033,149.8425416509291,151.40904235839844,3399900,0.0,0
2017-10-30,151.0453942259197,151.05471346892193,148.6956502548268,149.404296875,2550700,0.0,0
2017-10-31,149.04062740570134,150.37401882616254,148.92873959313258,150.1968536376953,2513600,0.0,0
2017-11-01,151.0266886379698,152.25749699240453,150.39262463950286,151.6980438232422,2129400,0.0,0
2017-11-02,152.66777036058605,154.36481102191232,151.62344640152176,153.8053436279297,3255700,0.0,0
2017-11-03,153.06877859342788,155.78217221139047,152.714448172046,155.19473266601562,3112500,0.0,0
2017-11-06,154.5979325316287,155.3345509061885,153.83332798005074,153.8986053466797,1917300,0.0,0
2017-11-07,154.0385143099225,155.25068466337524,153.47906091991916,155.04554748535156,1944200,0.0,0
