Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-25,46.11622162524683,46.159099123743346,45.918997562319575,46.02189636230469,777300,0.0,0
2018-01-26,46.24485596437322,46.81937791215627,46.24485596437322,46.80223083496094,946100,0.0,0
2018-01-29,46.71647526355405,46.73362561043781,46.43350271770754,46.46780014038086,938400,0.0,0
2018-01-30,46.2019715243412,46.27914643905204,45.79894660628525,45.876121520996094,1303700,0.0,0
2018-01-31,46.124796609630344,46.15052049083605,45.62744643236184,45.876121520996094,1156000,0.0,0
2018-02-01,45.61888630200215,45.97903382909604,45.58458560291854,45.73036193847656,1003500,0.0,0
2018-02-02,45.430231104102354,45.44738145189855,44.70135931378324,44.73565673828125,1696100,0.0,0
2018-02-05,44.4269593564346,44.744232606252396,42.446138387427375,42.78913879394531,3550700,0.0,0
2018-02-06,42.01737897527491,43.578024218383355,41.74298002732794,43.50942611694336,3003200,0.0,0
2018-02-07,43.389384385174516,44.14398331314374,43.26933522481234,43.41511154174805,1523400,0.0,0
2018-02-08,43.43227023459206,43.51801871672893,41.81159644500794,41.8287467956543,1899700,0.0,0
2018-02-09,42.24891080339132,42.69480998653854,41.09128698048198,42.394683837890625,2720500,0.0,0
2018-02-12,42.78913593612447,43.217884780089264,42.51473693767452,42.977783203125,1188300,0.0,0
2018-02-13,42.814868474771885,43.14071857796005,42.660518598056164,43.01209259033203,721100,0.0,0
2018-02-14,42.789141935416765,43.3293631993669,42.67766630445003,43.260765075683594,781600,0.0,0
2018-02-15,43.52659527532513,43.76669692993165,43.114996644550565,43.76669692993164,952700,0.0,0
2018-02-16,43.663795852870784,44.18687014741703,43.64664877172405,43.818145751953125,996100,0.0,0
2018-02-20,43.51800523890127,43.65520473048558,43.18358168260789,43.30363082885742,855700,0.0,0
2018-02-21,43.34651549437423,43.663788781731405,42.900616221580385,42.91776657104492,1020500,0.0,0
2018-02-22,43.04638586986424,43.43226049513966,42.98636129160964,43.08926010131836,1092800,0.0,0
2018-02-23,43.312213554865735,43.7066650390625,43.21789154215447,43.7066650390625,671700,0.0,0
2018-02-26,43.886743140599194,44.32406563387399,43.86101925014036,44.306915283203125,903300,0.0,0
2018-02-27,44.37550637607933,44.58988080301691,43.85243225097656,43.85243225097656,933800,0.0,0
2018-02-28,44.07538584373562,44.109683267848126,43.28648620944995,43.29506301879883,1071200,0.0,0
2018-03-01,43.312210519897924,43.56946246537674,42.463289567319805,42.76341247558594,1392700,0.0,0
2018-03-02,42.4118327641853,42.99493142485155,42.34323465350958,42.892032623291016,1305700,0.0,0
2018-03-05,42.6605086491881,43.44940492744998,42.6605086491881,43.33793258666992,963000,0.0,0
2018-03-06,43.49229497240707,43.51801886291556,43.08926990860112,43.37224578857422,676700,0.0,0
2018-03-07,42.93490416529616,43.337929080244315,42.88345313218776,43.27790451049805,598800,0.0,0
2018-03-08,43.389383536254904,43.47513527133178,43.19215945221943,43.457984924316406,531000,0.0,0
2018-03-09,43.73238563589888,44.08395958565743,43.6294868208973,44.07538604736328,551300,0.0,0
2018-03-12,44.13542097990553,44.21259592703036,43.75811978458635,43.82672119140625,642200,0.0,0
2018-03-13,44.00678252033799,44.21258341144497,43.56088331551805,43.655208587646484,511700,0.0,0
2018-03-14,43.826707156130944,43.86958138611557,43.175007084425985,43.25218200683594,602600,0.0,0
2018-03-15,43.35508461786121,43.54373188633483,43.157860540628626,43.26933288574219,698500,0.0,0
2018-03-16,43.3227760783029,43.58998898175617,43.31415779220248,43.43483352661133,716800,0.262,0
2018-03-19,43.322778608279954,43.322778608279954,42.65906203027138,42.900413513183594,877400,0.0,0
2018-03-20,43.0124662565275,43.10728055145198,42.788351371371874,42.909027099609375,581800,0.0,0
2018-03-21,42.8486895014045,43.20209840265053,42.710773912824756,42.75387191772461,803700,0.0,0
2018-03-22,42.443574207937246,42.581489828680695,41.81433069461698,41.82295227050781,1181100,0.0,0
2018-03-23,41.87466090935148,42.02981306496221,40.986826250364594,41.01268768310547,1788500,0.0,0
2018-03-26,41.58159798911592,42.047061123045026,41.305763477817216,42.0125846862793,1029800,0.0,0
2018-03-27,42.14187618872812,42.37460938578326,41.40057858807117,41.590213775634766,2520300,0.0,0
2018-03-28,41.66779539241514,42.10740039127824,41.624697378905836,41.736751556396484,793800,0.0,0
2018-03-29,41.96947550871578,42.43494184344837,41.943617363952946,42.26254653930664,646200,0.0,0
2018-04-02,42.19359762398089,42.202215910990326,40.81443824257874,41.262664794921875,1651300,0.0,0
2018-04-03,41.46091705130997,41.874667155208236,41.254045287528236,41.831565856933594,1107100,0.0,0
2018-04-04,41.25404609581359,42.409090545422345,41.245424520722786,42.32289123535156,798700,0.0,0
2018-04-05,42.46080955864296,42.63320490164165,42.27979592816979,42.538387298583984,1199900,0.0,0
2018-04-06,42.27978845176888,42.486663484418806,41.40057531729912,41.685028076171875,1121500,0.0,0
2018-04-09,41.84879326866191,42.288401390208335,41.659161422971714,41.69363784790039,940900,0.0,0
2018-04-10,42.236696097624545,42.460807732165165,41.97810473833382,42.314273834228516,892100,0.0,0
2018-04-11,42.08153586633168,42.38322520336479,42.02981628505436,42.176353454589844,769800,0.0,0
2018-04-12,42.391836834291816,42.59009025043541,42.33149898103795,42.40907669067383,854900,0.0,0
2018-04-13,42.667683233559146,42.676301520752,42.20221680912374,42.35737228393555,811100,0.0,0
2018-04-16,42.59871399526624,42.96074444936443,42.53837613427768,42.78834915161133,877800,0.0,0
2018-04-17,43.04694747924804,43.15038664768085,42.917653450958056,43.04694747924805,2413000,0.0,0
2018-04-18,43.0210892546397,43.081427125367746,42.89179193841253,42.900413513183594,1990100,0.0,0
