Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-09-27,139.0984954499695,140.13258435772445,138.75059422482897,139.6107177734375,33249400,0.0,0
2017-09-28,139.2724607543972,139.7073520322282,138.9535365515675,139.56239318847656,24149400,0.0,0
2017-09-29,139.84268101980737,140.6738129725831,139.475446956892,140.5675048828125,43102400,0.0,0
2017-10-02,140.78009053989953,141.26330634380386,140.06492584135373,140.693115234375,27351300,0.0,0
2017-10-03,140.87673922510345,141.15699790213006,140.5674740330697,140.99270629882812,19715200,0.0,0
2017-10-04,140.72210647727087,141.4275974192948,140.58680664254607,141.1280059814453,26381100,0.0,0
2017-10-05,141.6402276461385,142.58732658345514,141.49526878971463,142.51002502441406,31562400,0.0,0
2017-10-06,142.02680886599646,142.70330810546875,142.02680886599646,142.70330810546875,23561100,0.0,0
2017-10-09,142.8869174294182,143.04153527744782,142.35537710207169,142.53900146484375,13704800,0.0,0
2017-10-10,143.02221718076635,143.16717602151567,142.0171200629847,142.6453094482422,19223100,0.0,0
2017-10-11,142.57765132081792,143.09953263760227,142.39402695922993,143.07052612304688,12439100,0.0,0
2017-10-12,142.85791009515972,143.3701176057254,142.66461199967708,142.80958557128906,14513500,0.0,0
2017-10-13,143.3894501419676,143.52474997456542,142.819259043632,143.36045837402344,18409900,0.0,0
2017-10-16,143.7180479458578,143.89199855334857,143.40878275932877,143.8533477783203,21809400,0.0,0
2017-10-17,143.8050378789826,144.05630480866716,143.58276272016252,144.03697204589844,13138200,0.0,0
2017-10-18,144.18191549239407,144.20124825111952,143.65037522675027,143.8629913330078,17218200,0.0,0
2017-10-19,143.0222466861275,143.35082995732967,142.3264146138294,143.3314971923828,27680300,0.0,0
2017-10-20,143.91131618488714,144.03694225045382,143.54406750113637,143.71803283691406,30173300,0.0,0
2017-10-23,144.01767117451038,144.02733018375602,142.57768248164754,142.7806396484375,29297100,0.0,0
2017-10-24,143.06086757211244,143.32180823133675,142.49067647126103,143.022216796875,20289500,0.0,0
2017-10-25,142.7419587537406,143.2058418394414,141.41795204723448,142.48101806640625,36179100,0.0,0
2017-10-26,142.39402841394565,142.7516181336402,141.98812891150874,142.02679443359375,28230200,0.0,0
2017-10-27,144.4138779964513,146.43373140291533,144.1916028404283,146.1631317138672,60165100,0.0,0
2017-10-30,146.05680796136156,147.08122306658893,145.92150813136126,146.49169921875,31733400,0.0,0
2017-10-31,146.96530096675934,147.2552187293462,146.54006858619195,147.0426025390625,26319300,0.0,0
2017-11-01,147.632111714201,147.69976901638432,146.41441299410738,146.99427795410156,29481600,0.0,0
2017-11-02,146.82995633914547,146.88795462638893,145.70890681091373,146.7139892578125,31017400,0.0,0
